Restaurant_Name,City,Area,Cuisines,Restaurant_Type,Online_Order,Book_Table,Rating,Votes,Cost_For_Two,Value_Score,Price_Category
The Taste of India,Bangalore,Indiranagar,Italian,Casual Dining,Yes,Yes,3.4,1166,1158,0.2936,Premium
The Cloud Kitchen,Bangalore,Indiranagar,"Cafe, North Indian, Thai",Delivery,Yes,No,3.6,469,212,1.6981,Budget
Food Hub,Bangalore,HSR Layout,"Italian, Biryani",Fine Dining,Yes,No,3.9,398,3056,0.1276,Luxury
Restaurant Cloud Kitchen,Bangalore,Whitefield,"Chinese, Thai",Casual Dining,Yes,No,4.5,1232,770,0.5844,Mid-Range
Hotel Fusion Bites,Bangalore,Indiranagar,Fast Food,Casual Dining,Yes,No,4.5,808,566,0.7951,Affordable
The Burger Barn,Bangalore,Koramangala,Rajasthani,Delivery,Yes,No,3.8,234,385,0.987,Affordable
Shree Pizza Palace,Bangalore,Whitefield,"Italian, Chinese",Food Court,Yes,No,4.3,227,261,1.6475,Budget
Cafe Grill House,Bangalore,HSR Layout,Thai,Cafe,Yes,No,3.8,867,997,0.3811,Mid-Range
Shree Grill House,Bangalore,Whitefield,Fast Food,Casual Dining,Yes,Yes,4.2,180,1010,0.4158,Premium
Grill House,Bangalore,Indiranagar,"Fast Food, Thai, Italian",Quick Bites,No,No,3.8,474,180,2.1111,Budget
Shree Spice Garden,Bangalore,Koramangala,"Street Food, Punjabi, Mughlai",Casual Dining,Yes,No,4.0,1136,1197,0.3342,Premium
New Cloud Kitchen,Bangalore,Indiranagar,"Continental, South Indian",Food Court,Yes,No,2.7,507,474,0.5696,Affordable
Sweet Tooth,Bangalore,Whitefield,"Gujarati, Thai, Pizza",Cafe,Yes,No,3.8,1154,616,0.6169,Mid-Range
The Burger Barn,Bangalore,Koramangala,"Rajasthani, Fast Food, Continental",Bakery,Yes,No,3.7,612,217,1.7051,Budget
Shree Burger Barn,Bangalore,HSR Layout,"Chinese, Punjabi",Quick Bites,Yes,No,2.9,750,167,1.7365,Budget
Hotel Food Hub,Bangalore,HSR Layout,Fast Food,Fine Dining,Yes,No,4.3,1969,3412,0.126,Luxury
Hotel Dhaba Express,Bangalore,BTM Layout,Continental,Food Court,Yes,No,2.8,295,193,1.4508,Budget
Food Hub,Bangalore,Indiranagar,Thai,Casual Dining,No,No,4.6,390,642,0.7165,Mid-Range
New Urban Kitchen,Bangalore,HSR Layout,Seafood,Fine Dining,Yes,No,4.3,1626,3232,0.133,Luxury
New Grill House,Bangalore,Indiranagar,Street Food,Cafe,Yes,Yes,4.3,692,462,0.9307,Affordable
Royal Taste of India,Bangalore,HSR Layout,"Chinese, Pizza, Cafe",Quick Bites,Yes,No,3.0,593,161,1.8634,Budget
Hotel Spice Garden,Bangalore,HSR Layout,"Mughlai, Desserts",Food Court,Yes,No,3.8,478,253,1.502,Budget
New Flavor Town,Bangalore,Whitefield,Thai,Casual Dining,Yes,Yes,4.6,550,470,0.9787,Affordable
Royal Curry Leaf,Bangalore,Whitefield,"Thai, Street Food, Fast Food",Quick Bites,No,Yes,2.7,770,154,1.7532,Budget
Cloud Kitchen,Bangalore,Indiranagar,"Italian, Punjabi, Gujarati",Delivery,Yes,No,2.6,443,424,0.6132,Affordable
Momo Point,Bangalore,BTM Layout,Rajasthani,Dessert Parlour,Yes,No,2.5,717,138,1.8116,Budget
Hotel Kebab King,Bangalore,BTM Layout,"Biryani, South Indian",Cafe,Yes,No,4.4,782,440,1.0,Affordable
Urban Kitchen,Bangalore,Indiranagar,"Biryani, Continental, Pizza",Fine Dining,No,No,4.8,567,1601,0.2998,Premium
Restaurant Burger Barn,Bangalore,Koramangala,Fast Food,Dessert Parlour,Yes,Yes,3.4,481,202,1.6832,Budget
New The Hungry Tiger,Bangalore,Koramangala,"Desserts, Italian",Delivery,No,No,3.1,531,428,0.7243,Affordable
Royal Grill House,Bangalore,Koramangala,"Pizza, Mexican",Casual Dining,No,Yes,3.4,757,844,0.4028,Mid-Range
Restaurant Kebab King,Bangalore,HSR Layout,"Mughlai, Italian, South Indian",Fine Dining,No,Yes,4.8,1606,3705,0.1296,Luxury
Cafe Curry Leaf,Bangalore,HSR Layout,"Desserts, Cafe, Fast Food",Casual Dining,No,No,3.7,718,818,0.4523,Mid-Range
Dhaba Express,Bangalore,HSR Layout,"Pizza, Mexican, Street Food",Fine Dining,Yes,No,4.1,1080,2360,0.1737,Luxury
Royal The Hungry Tiger,Bangalore,Koramangala,"Mughlai, Punjabi, Gujarati",Bakery,No,No,4.0,96,437,0.9153,Affordable
Royal Curry Leaf,Bangalore,HSR Layout,"Street Food, Continental, Mughlai",Delivery,Yes,Yes,4.5,796,412,1.0922,Affordable
New Dhaba Express,Bangalore,Koramangala,"Continental, Biryani",Bakery,No,Yes,4.0,119,494,0.8097,Affordable
Shree Fusion Bites,Bangalore,BTM Layout,Rajasthani,Delivery,Yes,No,3.6,619,386,0.9326,Affordable
Restaurant Saffron,Bangalore,HSR Layout,"Rajasthani, Pizza, Gujarati",Fine Dining,Yes,No,4.7,1768,2635,0.1784,Luxury
Restaurant Taste of India,Bangalore,HSR Layout,"Street Food, Continental, Italian",Casual Dining,Yes,No,3.3,523,554,0.5957,Affordable
Royal Sweet Tooth,Bangalore,HSR Layout,"Thai, Rajasthani",Fine Dining,Yes,Yes,3.8,1624,3892,0.0976,Luxury
Restaurant Chaat Junction,Bangalore,Indiranagar,"Street Food, Seafood",Quick Bites,No,No,3.3,762,482,0.6846,Affordable
Royal Tiffin Box,Bangalore,Koramangala,"Gujarati, North Indian",Dessert Parlour,Yes,No,4.1,179,470,0.8723,Affordable
The Hungry Tiger,Bangalore,HSR Layout,"Mexican, North Indian, Chinese",Fine Dining,Yes,Yes,4.3,732,1705,0.2522,Premium
The Cloud Kitchen,Bangalore,Koramangala,"Italian, Chinese",Dessert Parlour,Yes,No,2.6,368,587,0.4429,Affordable
Cloud Kitchen,Bangalore,Whitefield,North Indian,Delivery,Yes,Yes,3.4,587,158,2.1519,Budget
Flavor Town,Bangalore,Indiranagar,"Cafe, Fast Food, Pizza",Cafe,No,Yes,3.2,1229,719,0.4451,Mid-Range
Taste of India,Bangalore,BTM Layout,"Continental, Fast Food, Street Food",Casual Dining,No,No,3.4,134,979,0.3473,Mid-Range
New Classic Dining,Bangalore,Whitefield,Bengali,Food Court,No,Yes,4.4,480,425,1.0353,Affordable
Shree Momo Point,Bangalore,BTM Layout,"Bengali, Mexican",Bakery,Yes,No,4.2,295,144,2.9167,Budget
Tiffin Box,Bangalore,Koramangala,"North Indian, Gujarati",Fine Dining,No,Yes,4.0,897,2558,0.1564,Luxury
The Taste of India,Bangalore,Whitefield,Continental,Delivery,No,No,4.0,497,453,0.883,Affordable
Flavor Town,Bangalore,HSR Layout,"Continental, Street Food",Delivery,No,No,3.6,445,276,1.3043,Budget
Shree Saffron,Bangalore,BTM Layout,"Italian, Continental",Dessert Parlour,Yes,Yes,2.7,790,374,0.7219,Affordable
The Tiffin Box,Bangalore,Whitefield,Mughlai,Dessert Parlour,Yes,No,3.1,556,462,0.671,Affordable
Hotel Taste of India,Bangalore,HSR Layout,"Gujarati, Fast Food, North Indian",Cafe,Yes,No,3.9,155,588,0.6633,Affordable
New Cloud Kitchen,Bangalore,HSR Layout,Mexican,Bakery,Yes,Yes,2.8,321,388,0.7216,Affordable
Hotel Cloud Kitchen,Bangalore,Indiranagar,"Seafood, Rajasthani, Mexican",Delivery,Yes,No,3.4,645,391,0.8696,Affordable
The Burger Barn,Bangalore,Whitefield,"Chinese, Pizza",Delivery,Yes,No,2.8,471,309,0.9061,Affordable
Cafe Saffron,Bangalore,Indiranagar,"Rajasthani, Chinese, Continental",Dessert Parlour,No,No,3.8,212,438,0.8676,Affordable
Saffron,Bangalore,BTM Layout,Pizza,Casual Dining,No,No,4.4,949,695,0.6331,Mid-Range
Royal Momo Point,Bangalore,Koramangala,"Chinese, South Indian",Bakery,No,No,3.7,103,113,3.2743,Budget
Hotel Chaat Junction,Bangalore,Whitefield,"South Indian, Pizza, Gujarati",Dessert Parlour,Yes,No,3.1,456,399,0.7769,Affordable
New Food Hub,Bangalore,HSR Layout,"Desserts, Fast Food",Fine Dining,No,No,4.6,1556,2680,0.1716,Luxury
The Curry Leaf,Bangalore,BTM Layout,"Italian, Desserts",Casual Dining,Yes,No,4.5,1396,401,1.1222,Affordable
Royal Burger Barn,Bangalore,Indiranagar,"Gujarati, Rajasthani, South Indian",Food Court,Yes,No,4.4,511,324,1.358,Affordable
Grill House,Bangalore,Whitefield,"North Indian, Thai, Bengali",Dessert Parlour,Yes,No,4.3,130,336,1.2798,Affordable
Hotel Saffron,Bangalore,HSR Layout,"Gujarati, Continental",Fine Dining,Yes,Yes,4.0,1240,3955,0.1011,Luxury
Shree Kebab King,Bangalore,Whitefield,"Italian, North Indian, Street Food",Food Court,No,No,3.7,511,437,0.8467,Affordable
Sweet Tooth,Bangalore,Indiranagar,"Desserts, Mughlai",Fine Dining,No,Yes,4.2,289,3182,0.132,Luxury
The Aroma Restaurant,Bangalore,Indiranagar,Biryani,Bakery,Yes,No,4.2,460,547,0.7678,Affordable
New Sweet Tooth,Bangalore,Whitefield,"Biryani, Chinese, Gujarati",Fine Dining,No,Yes,4.5,1530,3128,0.1439,Luxury
Hotel Dhaba Express,Bangalore,Indiranagar,"South Indian, Chinese, Continental",Bakery,Yes,No,4.5,102,482,0.9336,Affordable
Cafe Dosa Corner,Bangalore,Indiranagar,South Indian,Dessert Parlour,Yes,Yes,3.2,159,320,1.0,Affordable
Shree Masala Twist,Bangalore,BTM Layout,"Seafood, Continental, Gujarati",Casual Dining,No,Yes,3.9,511,660,0.5909,Mid-Range
Restaurant Sweet Tooth,Bangalore,HSR Layout,Rajasthani,Cafe,No,No,3.6,1463,834,0.4317,Mid-Range
Spice Garden,Bangalore,BTM Layout,Seafood,Casual Dining,Yes,No,4.7,94,702,0.6695,Mid-Range
Cafe Classic Dining,Bangalore,Koramangala,"Gujarati, Street Food, Continental",Quick Bites,Yes,No,3.8,266,417,0.9113,Affordable
Cafe Tiffin Box,Bangalore,Whitefield,"Rajasthani, South Indian",Quick Bites,Yes,No,2.7,344,251,1.0757,Budget
Shree Taste of India,Bangalore,Indiranagar,Italian,Dessert Parlour,No,No,4.4,774,251,1.753,Budget
Momo Point,Bangalore,HSR Layout,"Seafood, Thai, Beverages",Delivery,Yes,No,3.0,475,163,1.8405,Budget
Shree Flavor Town,Bangalore,Whitefield,Continental,Food Court,Yes,No,4.4,634,267,1.6479,Budget
Dhaba Express,Bangalore,Whitefield,Biryani,Fine Dining,Yes,Yes,4.9,399,1975,0.2481,Premium
Shree Burger Barn,Bangalore,Whitefield,"Biryani, Bengali, Fast Food",Fine Dining,No,No,4.8,267,2645,0.1815,Luxury
Royal Spice Garden,Bangalore,Koramangala,"Beverages, Thai, Cafe",Casual Dining,Yes,Yes,4.7,237,865,0.5434,Mid-Range
Restaurant The Hungry Tiger,Bangalore,Indiranagar,Biryani,Food Court,No,Yes,4.2,222,383,1.0966,Affordable
