Restaurant_Name,City,Area,Cuisines,Restaurant_Type,Online_Order,Book_Table,Rating,Votes,Cost_For_Two
The Taste of India,Bangalore,Indiranagar,Italian,Casual Dining,Yes,Yes,3.4,1166.0,1158
The Cloud Kitchen,Bangalore,Indiranagar,"Cafe, North Indian, Thai",Delivery,Yes,No,3.6,469.0,212
Food Hub,Bangalore,HSR Layout,"Italian, Biryani",Fine Dining,Yes,No,3.9,398.0,3056
Restaurant Cloud Kitchen,Bangalore,Whitefield,"Chinese, Thai",Casual Dining,Yes,No,4.5,1232.0,770
Hotel Fusion Bites,Bangalore,Indiranagar,Fast Food,Casual Dining,Yes,No,4.5,808.0,566
The Burger Barn,Bangalore,Koramangala,Rajasthani,Delivery,Yes,No,3.8,234.0,385
Shree Pizza Palace,Bangalore,Whitefield,"Italian, Chinese",Food Court,Yes,No,4.3,227.0,261
Cafe Grill House,Bangalore,HSR Layout,Thai,Cafe,Yes,No,3.8,867.0,997
Shree Grill House,Bangalore,Whitefield,Fast Food,Casual Dining,Yes,Yes,4.2,180.0,1010
Grill House,Bangalore,Indiranagar,"Fast Food, Thai, Italian",Quick Bites,No,No,,474.0,180
Shree Spice Garden,Bangalore,Koramangala,"Street Food, Punjabi, Mughlai",Casual Dining,Yes,No,4.0,1136.0,1197
New Cloud Kitchen,Bangalore,Indiranagar,"Continental, South Indian",Food Court,Yes,No,2.7,507.0,474
Sweet Tooth,Bangalore,Whitefield,"Gujarati, Thai, Pizza",Cafe,Yes,No,3.8,1154.0,616
The Burger Barn,Bangalore,Koramangala,"Rajasthani, Fast Food, Continental",Bakery,Yes,No,3.7,612.0,217
Shree Burger Barn,Bangalore,HSR Layout,"Chinese, Punjabi",Quick Bites,Yes,No,2.9,750.0,167
Hotel Food Hub,Bangalore,HSR Layout,Fast Food,Fine Dining,Yes,No,4.3,1969.0,3412
Hotel Dhaba Express,Bangalore,BTM Layout,Continental,Food Court,Yes,No,2.8,295.0,193
Food Hub,Bangalore,Indiranagar,Thai,Casual Dining,No,No,4.6,390.0,642
New Urban Kitchen,Bangalore,HSR Layout,Seafood,Fine Dining,Yes,No,4.3,1626.0,3232
New Grill House,Bangalore,Indiranagar,Street Food,Cafe,Yes,Yes,4.3,692.0,462
Royal Taste of India,Bangalore,HSR Layout,"Chinese, Pizza, Cafe",Quick Bites,Yes,No,3.0,593.0,161
Hotel Spice Garden,Bangalore,HSR Layout,"Mughlai, Desserts",Food Court,Yes,No,3.8,478.0,253
New Flavor Town,Bangalore,Whitefield,Thai,Casual Dining,Yes,Yes,4.6,550.0,470
Royal Curry Leaf,Bangalore,Whitefield,"Thai, Street Food, Fast Food",Quick Bites,No,Yes,2.7,770.0,154
Cloud Kitchen,Bangalore,Indiranagar,"Italian, Punjabi, Gujarati",Delivery,Yes,No,2.6,443.0,424
Momo Point,Bangalore,BTM Layout,Rajasthani,Dessert Parlour,Yes,No,2.5,717.0,138
Hotel Kebab King,Bangalore,BTM Layout,"Biryani, South Indian",Cafe,Yes,No,4.4,782.0,440
Urban Kitchen,Bangalore,Indiranagar,"Biryani, Continental, Pizza",Fine Dining,No,No,4.8,567.0,1601
Restaurant Burger Barn,Bangalore,Koramangala,Fast Food,Dessert Parlour,Yes,Yes,3.4,481.0,202
New The Hungry Tiger,Bangalore,Koramangala,"Desserts, Italian",Delivery,No,No,3.1,531.0,428
Royal Grill House,Bangalore,Koramangala,"Pizza, Mexican",Casual Dining,No,Yes,3.4,757.0,844
Restaurant Kebab King,Bangalore,HSR Layout,"Mughlai, Italian, South Indian",Fine Dining,No,Yes,4.8,1606.0,3705
Cafe Curry Leaf,Bangalore,HSR Layout,"Desserts, Cafe, Fast Food",Casual Dining,No,No,3.7,718.0,818
Dhaba Express,Bangalore,HSR Layout,"Pizza, Mexican, Street Food",Fine Dining,Yes,No,4.1,1080.0,2360
Royal The Hungry Tiger,Bangalore,Koramangala,"Mughlai, Punjabi, Gujarati",Bakery,No,No,4.0,96.0,437
Royal Curry Leaf,Bangalore,HSR Layout,"Street Food, Continental, Mughlai",Delivery,Yes,Yes,4.5,796.0,412
New Dhaba Express,Bangalore,Koramangala,"Continental, Biryani",Bakery,No,Yes,4.0,119.0,494
Shree Fusion Bites,Bangalore,BTM Layout,Rajasthani,Delivery,Yes,No,3.6,619.0,386
Restaurant Saffron,Bangalore,HSR Layout,"Rajasthani, Pizza, Gujarati",Fine Dining,Yes,No,4.7,1768.0,2635
Restaurant Taste of India,Bangalore,HSR Layout,"Street Food, Continental, Italian",Casual Dining,Yes,No,3.3,523.0,554
Royal Sweet Tooth,Bangalore,HSR Layout,"Thai, Rajasthani",Fine Dining,Yes,Yes,,1624.0,3892
Restaurant Chaat Junction,Bangalore,Indiranagar,"Street Food, Seafood",Quick Bites,No,No,3.3,762.0,482
Royal Tiffin Box,Bangalore,Koramangala,"Gujarati, North Indian",Dessert Parlour,Yes,No,4.1,179.0,470
The Hungry Tiger,Bangalore,HSR Layout,"Mexican, North Indian, Chinese",Fine Dining,Yes,Yes,4.3,732.0,1705
The Cloud Kitchen,Bangalore,Koramangala,"Italian, Chinese",Dessert Parlour,Yes,No,2.6,368.0,587
Cloud Kitchen,Bangalore,Whitefield,North Indian,Delivery,Yes,Yes,3.4,587.0,158
Flavor Town,Bangalore,Indiranagar,"Cafe, Fast Food, Pizza",Cafe,No,Yes,3.2,1229.0,719
Taste of India,Bangalore,BTM Layout,"Continental, Fast Food, Street Food",Casual Dining,No,No,3.4,134.0,979
New Classic Dining,Bangalore,Whitefield,Bengali,Food Court,No,Yes,4.4,480.0,425
Shree Momo Point,Bangalore,BTM Layout,"Bengali, Mexican",Bakery,Yes,No,4.2,295.0,144
Tiffin Box,Bangalore,Koramangala,"North Indian, Gujarati",Fine Dining,No,Yes,4.0,897.0,2558
The Taste of India,Bangalore,Whitefield,Continental,Delivery,No,No,4.0,497.0,453
Flavor Town,Bangalore,HSR Layout,"Continental, Street Food",Delivery,No,No,3.6,445.0,276
Shree Saffron,Bangalore,BTM Layout,"Italian, Continental",Dessert Parlour,Yes,Yes,2.7,790.0,374
The Tiffin Box,Bangalore,Whitefield,Mughlai,Dessert Parlour,Yes,No,3.1,556.0,462
Hotel Taste of India,Bangalore,HSR Layout,"Gujarati, Fast Food, North Indian",Cafe,Yes,No,3.9,155.0,588
New Cloud Kitchen,Bangalore,HSR Layout,Mexican,Bakery,Yes,Yes,2.8,321.0,388
Hotel Cloud Kitchen,Bangalore,Indiranagar,"Seafood, Rajasthani, Mexican",Delivery,Yes,No,3.4,645.0,391
The Burger Barn,Bangalore,Whitefield,"Chinese, Pizza",Delivery,Yes,No,2.8,471.0,309
Cafe Saffron,Bangalore,Indiranagar,"Rajasthani, Chinese, Continental",Dessert Parlour,No,No,3.8,212.0,438
Saffron,Bangalore,BTM Layout,Pizza,Casual Dining,No,No,4.4,949.0,695
Royal Momo Point,Bangalore,Koramangala,"Chinese, South Indian",Bakery,No,No,3.7,103.0,113
Hotel Chaat Junction,Bangalore,Whitefield,"South Indian, Pizza, Gujarati",Dessert Parlour,Yes,No,3.1,456.0,399
New Food Hub,Bangalore,HSR Layout,"Desserts, Fast Food",Fine Dining,No,No,4.6,1556.0,2680
The Curry Leaf,Bangalore,BTM Layout,"Italian, Desserts",Casual Dining,Yes,No,4.5,1396.0,401
Royal Burger Barn,Bangalore,Indiranagar,"Gujarati, Rajasthani, South Indian",Food Court,Yes,No,4.4,,324
Grill House,Bangalore,Whitefield,"North Indian, Thai, Bengali",Dessert Parlour,Yes,No,4.3,130.0,336
Hotel Saffron,Bangalore,HSR Layout,"Gujarati, Continental",Fine Dining,Yes,Yes,4.0,1240.0,3955
Shree Kebab King,Bangalore,Whitefield,"Italian, North Indian, Street Food",Food Court,No,No,3.7,511.0,437
Sweet Tooth,Bangalore,Indiranagar,"Desserts, Mughlai",Fine Dining,No,Yes,4.2,289.0,3182
The Aroma Restaurant,Bangalore,Indiranagar,Biryani,Bakery,Yes,No,4.2,460.0,547
New Sweet Tooth,Bangalore,Whitefield,"Biryani, Chinese, Gujarati",Fine Dining,No,Yes,4.5,1530.0,3128
Hotel Dhaba Express,Bangalore,Indiranagar,"South Indian, Chinese, Continental",Bakery,Yes,No,4.5,102.0,482
